DATE (UTC),Attributes,Values
48:30.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),10
48:30.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),9.6
48:30.5,Vehicle Speed (mph) (Positive is forward direction),13.7
,Accelerator Pedal Position Sensor A (%),9.6
,Steering Angle Sensor (degrees) (Positive indicates right turn),-12.7
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.96
,Accelerator Pedal Position Sensor B (%),9.19
,Lateral Acceleration (m/s^2),0.29
,Longitudinal Acceleration (m/s^2),-0.54
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),10
48:30.7,"Autosteer State (Unavailable is recorded when Autosteer is not available, SNA is recorded when system state is not available)","AVAILABLE, 2.0"
48:31.0,Steering Angle Sensor (degrees) (Positive indicates right turn),-5.7
,Accelerator Pedal Position Sensor A (%),5.59
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.28
,Lateral Acceleration (m/s^2),0.04
,Longitudinal Acceleration (m/s^2),-1.14
,Vehicle Speed (mph) (Positive is forward direction),12.7
,Accelerator Pedal Position Sensor B (%),5.2
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),6
48:31.1,UI Request - Maximum Battery Power,"DRAGSTRIP_OFF, 0.0"
48:31.1,Odometer (Miles),26690.23
48:31.2,Usage Statistics - AM Radio usage (minutes),0
,"UI Setting - Cabin Temperature, Left Side",15
,Air Conditioning - Fresh Air Intake Mode,"FRESH_OFF_RECIRC, 1.0"
,Usage Statistics - DAB Radio usage (minutes),0
,Air Conditioning - Fresh Air Intake Auto/Manual,"AUTO, 0.0"
,Usage Statistics - FM Radio usage (minutes),0
,UI Setting - Acceleration Mode,"PERFORMANCE, 1.0"
,UI Setting - Suspension Lowering Speed,0
,Air Conditioning - On/Off,"ON, 1.0"
,Air Conditioning - Mode,"MANUAL, 1.0"
,UI Setting - Stopping Mode ,"STOPPING_MODE_HOLD, 2.0"
,Usage Statistics - XM Radio usage (minutes),0
,Air Conditioning - Cabin Blower Manual Mode,"MANUAL, 1.0"
,"UI Setting - Cabin Temperature, Right Side",15
,Air Conditioning - Manual Airflow Mode,"MANUAL, 1.0"
,UI Setting - Range Mode,0
48:31.2,Vehicle Speed (mph) (Positive is forward direction),12.15
,Accelerator Pedal Position Sensor B (%),5.2
,Longitudinal Acceleration (m/s^2),-1.29
,Lateral Acceleration (m/s^2),0.04
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),6
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.56
,Steering Angle Sensor (degrees) (Positive indicates right turn),-4.59
,Accelerator Pedal Position Sensor A (%),5.59
48:31.3,UI Request - Maximum Battery Power,"DRAGSTRIP_OFF, 0.0"
48:31.3,Odometer (Miles),26690.23
48:31.3,UI Setting - Stopping Mode ,"STOPPING_MODE_HOLD, 2.0"
,Usage Statistics - XM Radio usage (minutes),0
,Usage Statistics - DAB Radio usage (minutes),0
,Air Conditioning - On/Off,"ON, 1.0"
,UI Setting - Acceleration Mode,"PERFORMANCE, 1.0"
,UI Setting - Suspension Lowering Speed,0
,"UI Setting - Cabin Temperature, Left Side",15
,Air Conditioning - Fresh Air Intake Mode,"FRESH_OFF_RECIRC, 1.0"
,Usage Statistics - AM Radio usage (minutes),0
,UI Setting - Range Mode,0
,Air Conditioning - Manual Airflow Mode,"MANUAL, 1.0"
,Air Conditioning - Cabin Blower Manual Mode,"MANUAL, 1.0"
,"UI Setting - Cabin Temperature, Right Side",15
,Usage Statistics - FM Radio usage (minutes),0
,Air Conditioning - Fresh Air Intake Auto/Manual,"AUTO, 0.0"
,Air Conditioning - Mode,"MANUAL, 1.0"
48:31.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),10
48:31.5,Accelerator Pedal Position Sensor A (%),6
,Longitudinal Acceleration (m/s^2),-1.35
,Accelerator Pedal Position Sensor B (%),5.2
,Vehicle Speed (mph) (Positive is forward direction),11.35
,Steering Angle Sensor (degrees) (Positive indicates right turn),-0.9
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),6
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.26
,Lateral Acceleration (m/s^2),0
48:31.5,Longitudinal Acceleration (m/s^2),-1.29
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.35
,Accelerator Pedal Position Sensor B (%),5.2
,Vehicle Speed (mph) (Positive is forward direction),11.2
,Lateral Acceleration (m/s^2),0.04
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),6.4
,Steering Angle Sensor (degrees) (Positive indicates right turn),-0.79
,Accelerator Pedal Position Sensor A (%),6
48:31.6,UI Request - Maximum Battery Power,"DRAGSTRIP_OFF, 0.0"
48:31.6,Odometer (Miles),26690.23
48:31.7,Air Conditioning - Mode,"MANUAL, 1.0"
,"UI Setting - Cabin Temperature, Left Side",15
,Air Conditioning - Manual Airflow Mode,"MANUAL, 1.0"
,Air Conditioning - Fresh Air Intake Mode,"FRESH_OFF_RECIRC, 1.0"
,UI Setting - Acceleration Mode,"PERFORMANCE, 1.0"
,UI Setting - Suspension Lowering Speed,0
,Air Conditioning - On/Off,"ON, 1.0"
,Usage Statistics - AM Radio usage (minutes),0
,Usage Statistics - DAB Radio usage (minutes),0
,Air Conditioning - Cabin Blower Manual Mode,"MANUAL, 1.0"
,UI Setting - Stopping Mode ,"STOPPING_MODE_HOLD, 2.0"
,"UI Setting - Cabin Temperature, Right Side",15
,Usage Statistics - XM Radio usage (minutes),0
,UI Setting - Range Mode,0
,Usage Statistics - FM Radio usage (minutes),0
,Air Conditioning - Fresh Air Intake Auto/Manual,"AUTO, 0.0"
48:32.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),6.8
,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),6.8
48:32.5,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),5.2
,Steering Angle Sensor (degrees) (Positive indicates right turn),2.2
,Vehicle Speed (mph) (Positive is forward direction),8.65
,Longitudinal Acceleration (m/s^2),-1.29
,Lateral Acceleration (m/s^2),0
,Accelerator Pedal Position Sensor B (%),4
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.76
,Accelerator Pedal Position Sensor A (%),4.8
48:33.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),5.2
,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),4.4
48:33.5,Accelerator Pedal Position Sensor A (%),4
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.56
,Lateral Acceleration (m/s^2),0.1
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),4.4
,Steering Angle Sensor (degrees) (Positive indicates right turn),12.79
,Vehicle Speed (mph) (Positive is forward direction),5.8
,Longitudinal Acceleration (m/s^2),-1.1
,Accelerator Pedal Position Sensor B (%),3.2
48:34.4,Steering Angle Sensor (degrees) (Positive indicates right turn),7.7
,Longitudinal Acceleration (m/s^2),-0.54
,Vehicle Speed (mph) (Positive is forward direction),4.14
,Accelerator Pedal Position Sensor B (%),3.2
,Steering Torque Sensor (Nm) (Positive indicates right turn),0
,Lateral Acceleration (m/s^2),0.04
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),4.4
,Accelerator Pedal Position Sensor A (%),4
48:34.4,UI Request - Maximum Battery Power,"DRAGSTRIP_OFF, 0.0"
48:34.5,Odometer (Miles),26690.25
48:34.5,Air Conditioning - On/Off,"ON, 1.0"
,Usage Statistics - AM Radio usage (minutes),0
,Air Conditioning - Manual Airflow Mode,"MANUAL, 1.0"
,UI Setting - Stopping Mode ,"STOPPING_MODE_HOLD, 2.0"
,UI Setting - Acceleration Mode,"PERFORMANCE, 1.0"
,Usage Statistics - FM Radio usage (minutes),0
,"UI Setting - Cabin Temperature, Left Side",15
,UI Setting - Range Mode,0
,Usage Statistics - XM Radio usage (minutes),0
,"UI Setting - Cabin Temperature, Right Side",15
,Air Conditioning - Cabin Blower Manual Mode,"MANUAL, 1.0"
,Usage Statistics - DAB Radio usage (minutes),0
,Air Conditioning - Fresh Air Intake Auto/Manual,"AUTO, 0.0"
,Air Conditioning - Mode,"MANUAL, 1.0"
,UI Setting - Suspension Lowering Speed,0
,Air Conditioning - Fresh Air Intake Mode,"FRESH_OFF_RECIRC, 1.0"
48:34.5,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),4
,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),3.6
48:34.5,Lateral Acceleration (m/s^2),-0.04
,Accelerator Pedal Position Sensor A (%),4
,Accelerator Pedal Position Sensor B (%),2.79
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),4
,Steering Angle Sensor (degrees) (Positive indicates right turn),7.5
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.04
,Longitudinal Acceleration (m/s^2),-0.5
,Vehicle Speed (mph) (Positive is forward direction),3.95
48:34.6,Autosteer Driver Hands On Detection,"LC_HANDS_ON_REQD_NOT_DETECTED, 2.0"
48:35.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),4.4
,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),5.2
48:35.4,Autosteer Driver Hands On Detection,"LC_HANDS_ON_REQD_DETECTED, 1.0"
48:35.5,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.7
,Accelerator Pedal Position Sensor B (%),4.4
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),5.2
,Vehicle Speed (mph) (Positive is forward direction),3.3
,Accelerator Pedal Position Sensor A (%),4.8
,Steering Angle Sensor (degrees) (Positive indicates right turn),2.59
,Longitudinal Acceleration (m/s^2),-0.04
,Lateral Acceleration (m/s^2),0.1
48:36.5,Accelerator Pedal Position Sensor A (%),0
,Accelerator Pedal Position Sensor B (%),0
,Vehicle Speed (mph) (Positive is forward direction),2.7
,Longitudinal Acceleration (m/s^2),-0.85
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.78
,Steering Angle Sensor (degrees) (Positive indicates right turn),-1.5
,Lateral Acceleration (m/s^2),0.04
48:37.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),0
,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),0
48:37.5,Longitudinal Acceleration (m/s^2),-0.45
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.88
,Accelerator Pedal Position Sensor A (%),0
,Vehicle Speed (mph) (Positive is forward direction),1.05
,Accelerator Pedal Position Sensor B (%),0
,Lateral Acceleration (m/s^2),0.04
,Steering Angle Sensor (degrees) (Positive indicates right turn),-4
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
48:38.5,Accelerator Pedal Position Sensor A (%),0
,Steering Angle Sensor (degrees) (Positive indicates right turn),-4.2
,Accelerator Pedal Position Sensor B (%),0
,Longitudinal Acceleration (m/s^2),-0.14
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.7
,Vehicle Speed (mph) (Positive is forward direction),0.25
,Lateral Acceleration (m/s^2),0.04
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
48:38.9,Turn Indicator Status,"LEFT, 1.0"
48:38.9,"Direction Indicator, Left","On, 1.0"
48:39.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),10
,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),10.4
48:39.5,Steering Angle Sensor (degrees) (Positive indicates right turn),-10
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),10.4
,Lateral Acceleration (m/s^2),0.04
,Accelerator Pedal Position Sensor B (%),9.6
,Vehicle Speed (mph) (Positive is forward direction),0.95
,Longitudinal Acceleration (m/s^2),1.35
,Accelerator Pedal Position Sensor A (%),10
,Steering Torque Sensor (Nm) (Positive indicates right turn),-1.39
48:39.6,"Autosteer State (Unavailable is recorded when Autosteer is not available, SNA is recorded when system state is not available)","UNAVAILABLE, 1.0"
48:39.8,Steering Torque Sensor (Nm) (Positive indicates right turn),-1.34
,Accelerator Pedal Position Sensor A (%),10
,Steering Angle Sensor (degrees) (Positive indicates right turn),-11
,Vehicle Speed (mph) (Positive is forward direction),1.7
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),10.4
,Longitudinal Acceleration (m/s^2),1.04
,Lateral Acceleration (m/s^2),0.14
,Accelerator Pedal Position Sensor B (%),9.6
48:39.8,UI Request - Maximum Battery Power,"DRAGSTRIP_OFF, 0.0"
48:39.9,Odometer (Miles),26690.25
48:39.9,UI Setting - Suspension Lowering Speed,0
,Air Conditioning - Mode,"MANUAL, 1.0"
,Air Conditioning - On/Off,"ON, 1.0"
,UI Setting - Stopping Mode ,"STOPPING_MODE_HOLD, 2.0"
,"UI Setting - Cabin Temperature, Right Side",15
,Usage Statistics - DAB Radio usage (minutes),0
,Air Conditioning - Fresh Air Intake Mode,"FRESH_OFF_RECIRC, 1.0"
,Usage Statistics - XM Radio usage (minutes),0
,Usage Statistics - AM Radio usage (minutes),0
,UI Setting - Acceleration Mode,"PERFORMANCE, 1.0"
,Air Conditioning - Fresh Air Intake Auto/Manual,"AUTO, 0.0"
,Usage Statistics - FM Radio usage (minutes),0
,UI Setting - Range Mode,0
,"UI Setting - Cabin Temperature, Left Side",15
,Air Conditioning - Manual Airflow Mode,"MANUAL, 1.0"
,Air Conditioning - Cabin Blower Manual Mode,"MANUAL, 1.0"
48:40.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),10.8
,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),11.6
48:40.5,Accelerator Pedal Position Sensor A (%),15.6
,Steering Torque Sensor (Nm) (Positive indicates right turn),-2.22
,Accelerator Pedal Position Sensor B (%),15.6
,Steering Angle Sensor (degrees) (Positive indicates right turn),-44
,Longitudinal Acceleration (m/s^2),0.79
,Vehicle Speed (mph) (Positive is forward direction),3.1
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),16
,Lateral Acceleration (m/s^2),0.7
48:40.5,"Autosteer State (Unavailable is recorded when Autosteer is not available, SNA is recorded when system state is not available)","AVAILABLE, 2.0"
48:40.6,"Autosteer State (Unavailable is recorded when Autosteer is not available, SNA is recorded when system state is not available)","UNAVAILABLE, 1.0"
48:41.2,"Autosteer State (Unavailable is recorded when Autosteer is not available, SNA is recorded when system state is not available)","AVAILABLE, 2.0"
48:41.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),22
,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),22
48:41.4,"Autosteer State (Unavailable is recorded when Autosteer is not available, SNA is recorded when system state is not available)","UNAVAILABLE, 1.0"
48:41.5,Steering Torque Sensor (Nm) (Positive indicates right turn),-2.73
,Lateral Acceleration (m/s^2),1.14
,Steering Angle Sensor (degrees) (Positive indicates right turn),-151.5
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),22.8
,Longitudinal Acceleration (m/s^2),1.5
,Vehicle Speed (mph) (Positive is forward direction),6.55
,Accelerator Pedal Position Sensor B (%),22.39
,Accelerator Pedal Position Sensor A (%),22
48:42.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),22.8
48:42.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),22.8
48:42.5,Steering Angle Sensor (degrees) (Positive indicates right turn),-155.4
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),23.2
,Lateral Acceleration (m/s^2),0.85
,Steering Torque Sensor (Nm) (Positive indicates right turn),-2.06
,Vehicle Speed (mph) (Positive is forward direction),9.2
,Accelerator Pedal Position Sensor A (%),22.8
,Accelerator Pedal Position Sensor B (%),22.8
,Longitudinal Acceleration (m/s^2),1.04
48:43.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),23.2
48:43.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),23.2
48:43.5,Steering Angle Sensor (degrees) (Positive indicates right turn),-139
,Lateral Acceleration (m/s^2),1.6
,Steering Torque Sensor (Nm) (Positive indicates right turn),-2.68
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),23.2
,Longitudinal Acceleration (m/s^2),0.95
,Accelerator Pedal Position Sensor B (%),22.39
,Vehicle Speed (mph) (Positive is forward direction),11.35
,Accelerator Pedal Position Sensor A (%),22.39
48:43.7,"Autosteer State (Unavailable is recorded when Autosteer is not available, SNA is recorded when system state is not available)","AVAILABLE, 2.0"
48:44.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),23.6
48:44.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),23.6
48:44.5,Vehicle Speed (mph) (Positive is forward direction),13.6
,Steering Angle Sensor (degrees) (Positive indicates right turn),-128.9
,Accelerator Pedal Position Sensor A (%),23.2
,Accelerator Pedal Position Sensor B (%),23.2
,Steering Torque Sensor (Nm) (Positive indicates right turn),-2.89
,Lateral Acceleration (m/s^2),2
,Longitudinal Acceleration (m/s^2),0.85
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),23.6
48:45.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),24
,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),24.8
48:45.5,Vehicle Speed (mph) (Positive is forward direction),15.95
,Lateral Acceleration (m/s^2),2.64
,Steering Angle Sensor (degrees) (Positive indicates right turn),-98.09
,Accelerator Pedal Position Sensor B (%),23.2
,Longitudinal Acceleration (m/s^2),0.85
,Accelerator Pedal Position Sensor A (%),23.2
,Steering Torque Sensor (Nm) (Positive indicates right turn),-3.11
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),23.6
48:46.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),23.2
48:46.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),23.2
48:46.5,Accelerator Pedal Position Sensor A (%),22.8
,Longitudinal Acceleration (m/s^2),0.95
,Vehicle Speed (mph) (Positive is forward direction),18.2
,Accelerator Pedal Position Sensor B (%),22.8
,Steering Angle Sensor (degrees) (Positive indicates right turn),-78.79
,Lateral Acceleration (m/s^2),2.2
,Steering Torque Sensor (Nm) (Positive indicates right turn),-2.38
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),23.6
48:47.4,Accelerator Pedal Position Sensor B (%),23.2
,Steering Angle Sensor (degrees) (Positive indicates right turn),-29.7
,Accelerator Pedal Position Sensor A (%),23.2
,Lateral Acceleration (m/s^2),1
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),23.6
,Steering Torque Sensor (Nm) (Positive indicates right turn),-1.6
,Longitudinal Acceleration (m/s^2),1.04
,Vehicle Speed (mph) (Positive is forward direction),20.29
48:47.5,UI Request - Maximum Battery Power,"DRAGSTRIP_OFF, 0.0"
48:47.5,Odometer (Miles),26690.26
48:47.6,Air Conditioning - Cabin Blower Manual Mode,"MANUAL, 1.0"
,UI Setting - Stopping Mode ,"STOPPING_MODE_HOLD, 2.0"
,Usage Statistics - XM Radio usage (minutes),0
,Air Conditioning - On/Off,"ON, 1.0"
,Usage Statistics - FM Radio usage (minutes),0
,Air Conditioning - Fresh Air Intake Mode,"FRESH_OFF_RECIRC, 1.0"
,UI Setting - Suspension Lowering Speed,0
,Air Conditioning - Mode,"MANUAL, 1.0"
,Air Conditioning - Fresh Air Intake Auto/Manual,"AUTO, 0.0"
,UI Setting - Range Mode,0
,Usage Statistics - DAB Radio usage (minutes),0
,"UI Setting - Cabin Temperature, Right Side",15
,UI Setting - Acceleration Mode,"PERFORMANCE, 1.0"
,Usage Statistics - AM Radio usage (minutes),0
,Air Conditioning - Manual Airflow Mode,"MANUAL, 1.0"
,"UI Setting - Cabin Temperature, Left Side",15
48:47.6,Accelerator Pedal Position Sensor A (%),23.2
,Vehicle Speed (mph) (Positive is forward direction),20.75
,Lateral Acceleration (m/s^2),0.5
,Longitudinal Acceleration (m/s^2),1.14
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),23.6
,Accelerator Pedal Position Sensor B (%),23.2
,Steering Angle Sensor (degrees) (Positive indicates right turn),-19.09
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.79
48:47.6,Turn Indicator Status,"IDLE, 0.0"
48:47.7,"Direction Indicator, Left","Off, 0.0"
48:48.2,Longitudinal Acceleration (m/s^2),1.14
,Steering Angle Sensor (degrees) (Positive indicates right turn),-2.59
,Accelerator Pedal Position Sensor B (%),23.2
,Lateral Acceleration (m/s^2),0.29
,Vehicle Speed (mph) (Positive is forward direction),22.15
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),23.6
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.47
,Accelerator Pedal Position Sensor A (%),23.2
48:48.3,UI Request - Maximum Battery Power,"DRAGSTRIP_OFF, 0.0"
48:48.3,Odometer (Miles),26690.26
48:48.3,Air Conditioning - Fresh Air Intake Auto/Manual,"AUTO, 0.0"
,Air Conditioning - Mode,"MANUAL, 1.0"
,Usage Statistics - DAB Radio usage (minutes),0
,"UI Setting - Cabin Temperature, Right Side",15
,Usage Statistics - XM Radio usage (minutes),0
,UI Setting - Range Mode,0
,Air Conditioning - Cabin Blower Manual Mode,"MANUAL, 1.0"
,Usage Statistics - FM Radio usage (minutes),0
,UI Setting - Stopping Mode ,"STOPPING_MODE_HOLD, 2.0"
,Air Conditioning - Manual Airflow Mode,"MANUAL, 1.0"
,Air Conditioning - On/Off,"ON, 1.0"
,Air Conditioning - Fresh Air Intake Mode,"FRESH_OFF_RECIRC, 1.0"
,Usage Statistics - AM Radio usage (minutes),0
,UI Setting - Suspension Lowering Speed,0
,UI Setting - Acceleration Mode,"PERFORMANCE, 1.0"
,"UI Setting - Cabin Temperature, Left Side",15
48:48.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),23.6
48:48.4,Vehicle Speed (mph) (Positive is forward direction),22.6
,Steering Angle Sensor (degrees) (Positive indicates right turn),-1.2
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),23.6
,Accelerator Pedal Position Sensor A (%),23.2
,Lateral Acceleration (m/s^2),0.1
,Accelerator Pedal Position Sensor B (%),23.2
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.21
,Longitudinal Acceleration (m/s^2),1.14
48:48.5,UI Request - Maximum Battery Power,"DRAGSTRIP_OFF, 0.0"
48:48.5,Odometer (Miles),26690.26
48:48.6,Air Conditioning - On/Off,"ON, 1.0"
,Air Conditioning - Fresh Air Intake Auto/Manual,"AUTO, 0.0"
,UI Setting - Acceleration Mode,"PERFORMANCE, 1.0"
,"UI Setting - Cabin Temperature, Left Side",15
,UI Setting - Stopping Mode ,"STOPPING_MODE_HOLD, 2.0"
,Usage Statistics - XM Radio usage (minutes),0
,UI Setting - Range Mode,0
,Usage Statistics - AM Radio usage (minutes),0
,Air Conditioning - Cabin Blower Manual Mode,"MANUAL, 1.0"
,Air Conditioning - Manual Airflow Mode,"MANUAL, 1.0"
,"UI Setting - Cabin Temperature, Right Side",15
,Usage Statistics - FM Radio usage (minutes),0
,Air Conditioning - Mode,"MANUAL, 1.0"
,Air Conditioning - Fresh Air Intake Mode,"FRESH_OFF_RECIRC, 1.0"
,Usage Statistics - DAB Radio usage (minutes),0
,UI Setting - Suspension Lowering Speed,0
48:48.6,Steering Angle Sensor (degrees) (Positive indicates right turn),-1.29
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),23.6
,Accelerator Pedal Position Sensor A (%),23.2
,Lateral Acceleration (m/s^2),0.14
,Vehicle Speed (mph) (Positive is forward direction),22.9
,Accelerator Pedal Position Sensor B (%),23.2
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.51
,Longitudinal Acceleration (m/s^2),1.1
48:48.7,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.53
,Lateral Acceleration (m/s^2),0.1
,Steering Angle Sensor (degrees) (Positive indicates right turn),-1.2
,Vehicle Speed (mph) (Positive is forward direction),23.25
,Accelerator Pedal Position Sensor B (%),23.2
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),23.6
,Accelerator Pedal Position Sensor A (%),23.2
,Longitudinal Acceleration (m/s^2),1.1
48:48.8,UI Request - Maximum Battery Power,"DRAGSTRIP_OFF, 0.0"
48:48.8,Odometer (Miles),26690.29
48:48.8,Usage Statistics - XM Radio usage (minutes),0
,UI Setting - Range Mode,0
,"UI Setting - Cabin Temperature, Right Side",15
,Air Conditioning - Cabin Blower Manual Mode,"MANUAL, 1.0"
,Air Conditioning - Manual Airflow Mode,"MANUAL, 1.0"
,UI Setting - Acceleration Mode,"PERFORMANCE, 1.0"
,Usage Statistics - DAB Radio usage (minutes),0
,Air Conditioning - Fresh Air Intake Mode,"FRESH_OFF_RECIRC, 1.0"
,Usage Statistics - FM Radio usage (minutes),0
,UI Setting - Suspension Lowering Speed,0
,Air Conditioning - Mode,"MANUAL, 1.0"
,Air Conditioning - Fresh Air Intake Auto/Manual,"AUTO, 0.0"
,Usage Statistics - AM Radio usage (minutes),0
,Air Conditioning - On/Off,"ON, 1.0"
,UI Setting - Stopping Mode ,"STOPPING_MODE_HOLD, 2.0"
,"UI Setting - Cabin Temperature, Left Side",15
48:49.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),23.2
48:49.5,Accelerator Pedal Position Sensor A (%),23.2
,Lateral Acceleration (m/s^2),-0.25
,Accelerator Pedal Position Sensor B (%),23.2
,Longitudinal Acceleration (m/s^2),1.1
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),23.6
,Vehicle Speed (mph) (Positive is forward direction),24.9
,Steering Angle Sensor (degrees) (Positive indicates right turn),9.79
,Steering Torque Sensor (Nm) (Positive indicates right turn),1.76
48:49.6,Lateral Acceleration (m/s^2),-0.39
,Accelerator Pedal Position Sensor B (%),23.2
,Longitudinal Acceleration (m/s^2),1.1
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),23.6
,Accelerator Pedal Position Sensor A (%),23.2
,Vehicle Speed (mph) (Positive is forward direction),25.2
,Steering Angle Sensor (degrees) (Positive indicates right turn),10.59
,Steering Torque Sensor (Nm) (Positive indicates right turn),2.1
48:49.7,UI Request - Maximum Battery Power,"DRAGSTRIP_OFF, 0.0"
48:49.7,Odometer (Miles),26690.29
48:49.7,Air Conditioning - On/Off,"ON, 1.0"
,UI Setting - Stopping Mode ,"STOPPING_MODE_HOLD, 2.0"
,Air Conditioning - Mode,"MANUAL, 1.0"
,UI Setting - Range Mode,0
,Usage Statistics - FM Radio usage (minutes),0
,Air Conditioning - Cabin Blower Manual Mode,"MANUAL, 1.0"
,Usage Statistics - DAB Radio usage (minutes),0
,Air Conditioning - Fresh Air Intake Mode,"FRESH_OFF_RECIRC, 1.0"
,"UI Setting - Cabin Temperature, Right Side",15
,Usage Statistics - AM Radio usage (minutes),0
,UI Setting - Suspension Lowering Speed,0
,Air Conditioning - Manual Airflow Mode,"MANUAL, 1.0"
,Usage Statistics - XM Radio usage (minutes),0
,Air Conditioning - Fresh Air Intake Auto/Manual,"AUTO, 0.0"
,UI Setting - Acceleration Mode,"PERFORMANCE, 1.0"
,"UI Setting - Cabin Temperature, Left Side",15
48:49.8,Longitudinal Acceleration (m/s^2),1.1
,Lateral Acceleration (m/s^2),-0.29
,Accelerator Pedal Position Sensor B (%),23.2
,Steering Torque Sensor (Nm) (Positive indicates right turn),2
,Accelerator Pedal Position Sensor A (%),23.2
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),23.6
,Steering Angle Sensor (degrees) (Positive indicates right turn),10.9
,Vehicle Speed (mph) (Positive is forward direction),25.54
48:49.9,UI Request - Maximum Battery Power,"DRAGSTRIP_OFF, 0.0"
48:49.9,Odometer (Miles),26690.29
48:49.9,Air Conditioning - Mode,"MANUAL, 1.0"
,Usage Statistics - DAB Radio usage (minutes),0
